date,humidity_missing,imputation
2023-01-23 02:00:00,1.76,-14.98
2023-01-23 03:00:00,1.83,-27.62
2023-01-23 04:00:00,1.94,-43.58
2023-01-23 05:00:00,2.01,-29.56
2023-01-23 06:00:00,1.95,-35.39
2023-01-23 07:00:00,,2.05
2023-01-23 08:00:00,2.09,-50.49
2023-01-23 09:00:00,,2.03
2023-01-23 10:00:00,2.10,-45.68
2023-01-23 11:00:00,,2.01
2023-01-23 12:00:00,2.05,-31.22
2023-01-23 13:00:00,1.96,-27.18
2023-01-23 14:00:00,1.92,-18.61
2023-01-23 15:00:00,1.99,-25.80
2023-01-23 16:00:00,,1.86
2023-01-23 17:00:00,1.76,-7.27
2023-01-23 18:00:00,1.57,1.81
2023-01-23 19:00:00,,1.82
2023-01-23 20:00:00,1.69,-6.71
2023-01-23 21:00:00,,1.83
2023-01-23 22:00:00,1.96,-52.57
2023-01-23 23:00:00,1.83,-19.15
2023-01-24 00:00:00,1.86,-22.02
2023-01-24 01:00:00,,1.87
2023-01-24 02:00:00,1.99,-45.29
2023-01-24 03:00:00,2.11,1.95
2023-01-24 04:00:00,1.99,2.00
2023-01-24 05:00:00,2.12,2.09
2023-01-24 06:00:00,2.22,-68.49
2023-01-24 07:00:00,2.21,-53.62
2023-01-24 08:00:00,2.24,-62.46
2023-01-24 09:00:00,,2.14
2023-01-24 10:00:00,2.15,-50.40
2023-01-24 11:00:00,2.21,-46.84
2023-01-24 12:00:00,2.22,-52.74
2023-01-24 13:00:00,2.14,-51.45
2023-01-24 14:00:00,1.99,-31.23
2023-01-24 15:00:00,1.96,1.92
2023-01-24 16:00:00,1.94,1.92
2023-01-24 17:00:00,1.86,-44.62
2023-01-24 18:00:00,1.90,-57.61
2023-01-24 19:00:00,,1.81
2023-01-24 20:00:00,1.84,-48.01
2023-01-24 21:00:00,1.91,-30.34
2023-01-24 22:00:00,1.82,-35.68
2023-01-24 23:00:00,,1.83
2023-01-25 00:00:00,,1.79
2023-01-25 01:00:00,1.91,-25.18
2023-01-25 02:00:00,1.76,-0.17
2023-01-25 03:00:00,1.74,-6.61
2023-01-25 04:00:00,1.98,1.94
2023-01-25 05:00:00,2.14,-56.30
2023-01-25 06:00:00,,2.08
2023-01-25 07:00:00,2.16,-50.06
2023-01-25 08:00:00,2.08,-46.74
2023-01-25 09:00:00,2.09,-27.12
2023-01-25 10:00:00,1.98,-32.26
2023-01-25 11:00:00,1.99,-34.86
2023-01-25 12:00:00,2.04,-57.72
2023-01-25 13:00:00,1.94,-43.44
2023-01-25 14:00:00,1.89,-32.12
2023-01-25 15:00:00,,1.79
2023-01-25 16:00:00,1.76,-14.15
2023-01-25 17:00:00,1.69,-19.28
2023-01-25 18:00:00,1.74,-22.04
2023-01-25 19:00:00,1.72,-20.31
2023-01-25 20:00:00,1.57,-0.56
2023-01-25 21:00:00,1.71,-7.24
2023-01-25 22:00:00,1.69,0.27
2023-01-25 23:00:00,1.81,1.76
2023-01-26 00:00:00,1.77,-17.09
2023-01-26 01:00:00,1.85,-23.15
2023-01-26 02:00:00,1.88,-34.63
2023-01-26 03:00:00,1.81,-11.63
2023-01-26 04:00:00,1.80,1.90
2023-01-26 05:00:00,2.00,1.96
2023-01-26 06:00:00,1.88,-17.44
2023-01-26 07:00:00,2.01,-53.68
2023-01-26 08:00:00,1.98,-42.93
2023-01-26 09:00:00,,1.94
2023-01-26 10:00:00,,1.90
2023-01-26 11:00:00,1.83,-18.77
2023-01-26 12:00:00,,1.82
2023-01-26 13:00:00,,1.81
2023-01-26 14:00:00,1.76,-22.99
2023-01-26 15:00:00,1.70,-5.51
2023-01-26 16:00:00,1.65,-17.17
2023-01-26 17:00:00,1.47,-10.96
2023-01-26 18:00:00,,1.64
2023-01-26 19:00:00,1.46,10.90
2023-01-26 20:00:00,,1.65
2023-01-26 21:00:00,1.78,-32.10
2023-01-26 22:00:00,1.79,-15.26
2023-01-26 23:00:00,1.80,-11.44
2023-01-27 00:00:00,1.66,-1.20
2023-01-27 01:00:00,1.83,-24.95
2023-01-27 02:00:00,1.75,-4.76
2023-01-27 03:00:00,1.89,-49.12
2023-01-27 04:00:00,1.77,1.83
2023-01-27 05:00:00,1.97,-33.39
2023-01-27 06:00:00,1.86,-23.87
2023-01-27 07:00:00,1.94,-33.77
2023-01-27 08:00:00,1.85,-12.17
